email_date,filename
"2020-02-19","2020-02-19 - 567CAP-UNPAID 2017 FIRE DUES.xlsx"
"2020-06-02","2020-06-02 - MAY 2020 567CAP.xlsx"
"2020-07-02","2020-07-02 - CAPPS JUNE COLLECTIONS.xlsx"
"2020-07-02","2020-07-02 - DELQ CAPPS.xlsx"
"2020-08-06","2020-08-06 - CAPPS JULY FIRE DUES.xlsx"
"2020-09-02","2020-09-02 - August 2020 Capps Current.xlsx"
"2020-09-02","2020-09-02 - August 2020 Capps Delq.xlsx"
"2020-10-06","2020-10-06 - CAPPS SEPT CURRENT.xlsx"
"2020-10-06","2020-10-06 - CAPPS SEPT DELQ.xlsx"
"2020-11-09","2020-11-09 - 2020 CAP-BAT CURRENT.xlsx"
"2020-11-09","2020-11-09 - 2020 CAP-BAT DLQT.xlsx"
"2020-12-29","2020-12-29 - CAP-BAT NOVEMBER DLQNT REPORT.xlsx"
"2021-01-05","2021-01-05 - DLQNT DECEMBER REPORT.xlsx"
"2021-02-22","2021-02-22 - CAPPS-BAT JANUARY DLQNT REPORT.xlsx"
"2021-03-09","2021-03-09 - FEBRUARY 2020 REPORT.xlsx"
"2021-04-07","2021-04-07 - CAP 2020 REPORT.xlsx"
"2021-04-07","2021-04-07 - CAP DLQNT 2019 REPORT.xlsx"
"2021-04-12","2021-04-12 - 2018 unpaid Capps Batavia-return to ID.xlsx"
"2021-05-14","2021-05-14 - CAP CURRENT DUES REPORT.xlsx"
"2021-05-14","2021-05-14 - CAP DLQNT DUES REPORT.xlsx"
"2021-06-22","2021-06-22 - CAP CURRENT JUNE REPORT.xlsx"
"2021-06-22","2021-06-22 - CAP DLQNT REPORT.xlsx"
"2021-07-14","2021-07-14 - CAP JUNE CURRENT.xlsx"
"2021-07-14","2021-07-14 - CAP JUNE DLQ.xlsx"
"2021-08-10","2021-08-10 - CAP JULY CURRENT.xlsx"
"2021-08-10","2021-08-10 - CAP JULY DELQ.xlsx"
